,Latitude,Longitude,Region,Council,Ward,Population
166,-3.3940816,36.6975333,ARUSHA,Arusha CC,Themi,633
167,-3.416155,36.6879112,ARUSHA,Arusha CC,Sinoni,2129
168,-3.3915846,36.738533,ARUSHA,Arusha CC,Muriet,77
169,-3.3698883,36.719115,ARUSHA,Arusha CC,Kimandolu,222
170,-3.36332,36.70027,ARUSHA,Arusha CC,Sekei,93
171,-3.401541,36.6751321,ARUSHA,Arusha CC,Sokoni I,108
172,-3.4230233,36.6613913,ARUSHA,Arusha CC,Muriet,218
173,-3.4076327,36.6829956,ARUSHA,Arusha CC,Sinoni,989
174,-3.3957777,36.6736666,ARUSHA,Arusha CC,Sokoni I,247
175,-3.3871483,36.7328517,ARUSHA,Arusha CC,Baraa,684
176,-3.4064473,36.6675744,ARUSHA,Arusha CC,Sokoni I,403
177,-3.3999933,36.6678908,ARUSHA,Arusha CC,Sombetini,1004
178,-3.4557663,36.6526501,ARUSHA,Arusha CC,Muriet,104
179,-3.3893041,36.6643634,ARUSHA,Arusha CC,Sombetini,1119
180,-3.3646697,36.6715656,ARUSHA,Arusha CC,Sakina,155
181,-3.3940461,36.6654966,ARUSHA,Arusha CC,Osunyai Jr,290
182,-3.425623,36.709255,ARUSHA,Arusha CC,Baraa,3493.5
183,-3.4557768,36.6526512,ARUSHA,Arusha CC,Muriet,47
184,-3.400161,36.740033,ARUSHA,Arusha CC,Moshono,174
185,-3.4215342,36.6630579,ARUSHA,Arusha CC,Muriet,100
186,-3.3864312,36.6601566,ARUSHA,Arusha CC,Sombetini,223
187,-3.3941999,36.7067188,ARUSHA,Arusha CC,Themi,149
188,-3.399049,36.7383433,ARUSHA,Arusha CC,Moshono,197
189,-3.38554,36.668504,ARUSHA,Arusha CC,Osunyai Jr,787
190,-3.4443374,36.7090329,ARUSHA,Arusha CC,Terrat,133
191,-3.4575255,36.70095,ARUSHA,Arusha CC,Terrat,241
192,-3.407183,36.721328,ARUSHA,Arusha CC,Muriet,181
193,-3.36221,36.65966,ARUSHA,Arusha CC,Elerai,3493.5
194,-3.45472,36.7109652,ARUSHA,Arusha CC,Moshono,146
195,-3.3673166,36.6897459,ARUSHA,Arusha CC,Kaloleni,967
196,-3.376673,36.7048666,ARUSHA,Arusha CC,Sekei,1800
197,-3.3683767,36.7045549,ARUSHA,Arusha CC,Kimandolu,1031
198,-3.370864,36.71531,ARUSHA,Arusha CC,Kimandolu,285
199,-3.4316581,36.6732023,ARUSHA,Arusha CC,Muriet,390
200,-3.4487133,36.672925,ARUSHA,Arusha CC,Muriet,1394
201,-3.3887586,36.716045,ARUSHA,Arusha CC,Kimandolu,285
202,-3.4033093,36.7002712,ARUSHA,Arusha CC,Lemara,1246
203,-3.3674863,36.6813965,ARUSHA,Arusha CC,Levolosi,1201
204,-3.3656971,36.6738176,ARUSHA,Arusha CC,Ngarenaro,85
205,-3.3882633,36.7133133,ARUSHA,Arusha CC,Oloirien,272
206,-3.5344623,36.6908775,ARUSHA,Arusha CC,Muriet,484
207,-3.4101138,36.6554973,ARUSHA,Arusha CC,Olasiti,1427
208,-3.3500211,36.6263413,ARUSHA,Arusha CC,Muriet,485
209,-3.3633511,36.6286782,ARUSHA,Arusha CC,Olmoti,792
210,-3.3693086,36.6588666,ARUSHA,Arusha CC,Elerai,613
211,-3.3668437,36.6895808,ARUSHA,Arusha CC,Kaloleni,728
212,-3.3610516,36.680395,ARUSHA,Arusha CC,Levolosi,3493.5
213,-3.3693832,36.676965,ARUSHA,Arusha CC,Ngarenaro,407
214,-3.388433,36.655963,ARUSHA,Arusha CC,Olasiti,213
215,-3.389619,36.622719,ARUSHA,Arusha CC,Olmoti,612
216,-3.40918,36.63854,ARUSHA,Arusha CC,Olasiti,80
217,-3.5105042,36.7146219,ARUSHA,Arusha CC,Terrat,385
218,-3.3986519,36.6574591,ARUSHA,Arusha CC,Olasiti,518
219,-3.3699479,36.6898233,ARUSHA,Arusha CC,Kati,1314
220,-3.376009,36.665363,ARUSHA,Arusha CC,Elerai,206
221,-3.4739584,36.7050348,ARUSHA,Arusha CC,Terrat,1237
222,-3.3845156,36.7113702,ARUSHA,Arusha CC,Oloirien,811
223,-3.3908316,36.7306416,ARUSHA,Arusha CC,Moshono,532
224,-3.4410988,36.7130472,ARUSHA,Arusha CC,Engutoto,118
225,-3.3818533,36.6041454,ARUSHA,Arusha CC,Olmoti,169
226,-3.4129023,36.657376,ARUSHA,Arusha CC,Muriet,102
227,-3.4178509,36.6902056,ARUSHA,Arusha CC,Sokoni I,4493
228,-3.4987193,36.6338192,ARUSHA,Arusha CC,Olmoti,735
229,-3.374502,36.70066,ARUSHA,Arusha CC,Ngarenaro,1398
230,-3.4958982,36.6811609,ARUSHA,Arusha CC,Muriet,709
231,-3.384808,36.67524,ARUSHA,Arusha CC,Sokoni I,526
232,-3.447028,36.710923,ARUSHA,Arusha CC,Engutoto,580
233,-3.3705596,36.7328033,ARUSHA,Arusha CC,Baraa,1322
234,-3.3626924,36.69574,ARUSHA,Arusha CC,Sekei,273
235,-3.4137887,36.638446,ARUSHA,Arusha CC,Olasiti,297
236,-3.4059949,36.652575,ARUSHA,Arusha CC,Olasiti,113
237,-3.4243133,36.6866971,ARUSHA,Arusha CC,Sinoni,347
238,-3.3735816,36.6773513,ARUSHA,Arusha CC,Ngarenaro,1900
239,-3.423265,36.707683,ARUSHA,Arusha CC,Engutoto,724
240,-3.425423,36.702165,ARUSHA,Arusha CC,Lemara,276
241,-3.4739583,36.7050349,ARUSHA,Arusha CC,Terrat,152
242,-3.4137888,36.638447,ARUSHA,Arusha CC,Olasiti,3541
243,-3.4455956,36.7083595,ARUSHA,Arusha CC,Moshono,802
244,-3.3885404,36.7117286,ARUSHA,Arusha CC,Oloirien,804
245,-3.39012,36.6677933,ARUSHA,Arusha CC,Osunyai Jr,3356
246,-3.4040983,36.6779233,ARUSHA,Arusha CC,Sokoni I,172
247,-3.407002,36.6603,ARUSHA,Arusha CC,Olasiti,140
248,-3.3310877,36.6120352,ARUSHA,Arusha CC,Engutoto,251
249,-3.3942766,36.6767066,ARUSHA,Arusha CC,Baraa,48
250,-3.382638,36.696001,ARUSHA,Arusha CC,Sekei,445
251,-3.4034393,36.6948795,ARUSHA,Arusha CC,Lemara,262
252,-3.3940732,36.6843222,ARUSHA,Arusha CC,Sinoni,639
253,-3.4052955,36.6686583,ARUSHA,Arusha CC,Sokoni I,307
254,-3.3801921,36.674359,ARUSHA,Arusha CC,Unga Ltd,1210
255,-3.3627379,36.695889,ARUSHA,Arusha CC,Sekei,1788
256,-3.43765,36.70437,ARUSHA,Arusha CC,Lemara,598
257,-3.401825,36.7592651,ARUSHA,Arusha CC,Moivaro,935
258,-3.367207,36.721578,ARUSHA,Arusha CC,Moivaro,426
259,-3.395134,36.67758,ARUSHA,Arusha CC,Sokoni I,233
260,-3.3938505,36.6820367,ARUSHA,Arusha CC,Sinoni,3493
261,-3.4239797,36.6672372,ARUSHA,Arusha CC,Muriet,276
262,-3.401735,36.6681033,ARUSHA,Arusha CC,Sokoni I,2814
263,-3.3900111,36.6665666,ARUSHA,Arusha CC,Sombetini,1947
264,-3.3930458,36.7252308,ARUSHA,Arusha CC,Oloirien,3493.5
265,-3.4246304,36.6617959,ARUSHA,Arusha CC,Muriet,487
266,-3.3700612,36.6025201,ARUSHA,Arusha CC,Olmoti,470
267,-3.4150928,36.7049892,ARUSHA,Arusha CC,Lemara,331
268,-3.4027233,36.742145,ARUSHA,Arusha CC,Moshono,625
269,-3.3920172,36.7400327,ARUSHA,Arusha CC,Moivaro,378
270,-3.368465,36.6648771,ARUSHA,Arusha CC,Elerai,3493.5
271,-3.3771112,36.7376696,ARUSHA,Arusha CC,Moshono,3493.5
272,-3.3746393,36.7602326,ARUSHA,Arusha CC,Moivaro,257
273,-3.3853076,36.7201073,ARUSHA,Arusha CC,Kimandolu,1050
274,-3.3655453,36.6750912,ARUSHA,Arusha CC,Ngarenaro,72
275,-3.41558,36.70428,ARUSHA,Arusha CC,Lemara,187
276,-3.3566666,36.71485,ARUSHA,Arusha CC,Sokoni I,358
277,-3.4557769,36.6526513,ARUSHA,Arusha CC,Muriet,2797
278,-3.3756211,36.7598955,ARUSHA,Arusha CC,Moshono,76
279,-3.3807836,36.6891492,ARUSHA,Arusha CC,Themi,1208
280,-3.4196,36.7079,ARUSHA,Arusha CC,Engutoto,265
281,-3.67584,36.69908,ARUSHA,Arusha CC,Kati,1366
282,-3.3702688,36.7375,ARUSHA,Arusha CC,Baraa,465
283,-3.3921756,36.6844638,ARUSHA,Arusha CC,Sinoni,4095
284,-3.3796601,36.6744812,ARUSHA,Arusha CC,Unga Ltd,1996
285,-3.3686452,36.675275,ARUSHA,Arusha CC,Ngarenaro,43
286,-3.3720349,36.5989967,ARUSHA,Arusha CC,Olmoti,219
287,-3.3869135,36.7273423,ARUSHA,Arusha CC,Moshono,591
288,-3.335606,35.764059,ARUSHA,Karatu,Rhotia,280
289,-3.28761,35.73331,ARUSHA,Karatu,Rhotia,265
290,-3.5228316,35.3446233,ARUSHA,Karatu,Mang'ola,549
291,-3.3257735,35.7061744,ARUSHA,Karatu,Ganako,181
292,-3.3160236,35.7828123,ARUSHA,Karatu,Rhotia,305
293,-3.41388,35.67214,ARUSHA,Karatu,Qurus,247
294,-3.317702,35.690452,ARUSHA,Karatu,Ganako,263
295,-3.657525,35.6475333,ARUSHA,Karatu,Buger,573
296,-3.3333333,35.4444444,ARUSHA,Karatu,Rhotia,140
297,-3.6742049,35.5685333,ARUSHA,Karatu,Kansay,454
298,-3.3605848,35.6019046,ARUSHA,Karatu,Endamarariek,666
299,-3.3610566,35.6340316,ARUSHA,Karatu,Qurus,931
300,-3.442552,35.671485,ARUSHA,Karatu,Endamarariek,597
301,-3.1934,35.3908,ARUSHA,Karatu,Ganako,3493.5
302,-3.222795,35.876697,ARUSHA,Karatu,Mbulumbulu,146
303,-3.6404247,35.6531339,ARUSHA,Karatu,Buger,506
304,-3.2035196,35.4030078,ARUSHA,Karatu,Karatu,357
305,-3.3454532,35.6731683,ARUSHA,Karatu,Karatu,221
306,-3.3850433,35.5777433,ARUSHA,Karatu,Daa,379
307,-3.3470399,35.6151801,ARUSHA,Karatu,Karatu,194
308,-3.3887712,35.7651712,ARUSHA,Karatu,Rhotia,330
309,-3.469974,35.6782083,ARUSHA,Karatu,Karatu,549
310,-3.4031878,35.9119987,ARUSHA,Karatu,Mbulumbulu,277
311,-3.586457,35.314628,ARUSHA,Karatu,Baray,493
312,-3.5194717,35.6608983,ARUSHA,Karatu,Endamarariek,290
313,-3.586628,35.603035,ARUSHA,Karatu,Endabash,557
314,-3.5718799,35.611722,ARUSHA,Karatu,Endabash,540
315,-3.562472,35.616441,ARUSHA,Karatu,Endabash,271
316,-3.6494883,35.5850033,ARUSHA,Karatu,Kansay,412
317,-3.4599077,35.7383688,ARUSHA,Karatu,Endamarariek,611
318,-3.5056047,35.3653696,ARUSHA,Karatu,Endamaghang,922
319,-3.5014567,35.6707933,ARUSHA,Karatu,Endamarariek,739
320,-3.3544275,35.6057739,ARUSHA,Karatu,Daa,522
321,-3.7911399,35.9385966,ARUSHA,Karatu,Baray,206
322,-3.387446,35.758772,ARUSHA,Karatu,Buger,696
323,-3.3355454,35.4039434,ARUSHA,Karatu,Karatu,739
324,-3.523455,35.30069,ARUSHA,Karatu,Mang'ola,724
325,-3.6269319,35.6518928,ARUSHA,Karatu,Buger,419
326,-3.324141,35.60462911,ARUSHA,Karatu,Ganako,662
327,-3.6319733,35.6047266,ARUSHA,Karatu,Kansay,233
328,-3.397935,35.6898116,ARUSHA,Karatu,Qurus,488
329,-3.5193351,35.7113572,ARUSHA,Karatu,Endamarariek,624
330,-3.7267383,35.0904083,ARUSHA,Karatu,Baray,236
331,-3.5016491,35.6462815,ARUSHA,Karatu,Endamarariek,461
332,-3.2876566,35.7634466,ARUSHA,Karatu,Rhotia,250
333,-3.39049,35.65499,ARUSHA,Karatu,Qurus,504
334,-3.35305166,35.67623166,ARUSHA,Karatu,Karatu,1040
335,-3.2310148,35.4217796,ARUSHA,Karatu,Qurus,747
336,-3.1940445,35.3350964,ARUSHA,Karatu,Oldeani,426
337,-3.6602497,35.5766187,ARUSHA,Karatu,Kansay,249
338,-3.340221,35.7431299,ARUSHA,Karatu,Rhotia,210
339,-3.4745417,35.4669533,ARUSHA,Karatu,Baray,496
340,-3.3226262,35.7106732,ARUSHA,Karatu,Ganako,509
341,-3.368767,35.734148,ARUSHA,Karatu,Rhotia,226
342,-3.3552296,35.726875,ARUSHA,Karatu,Rhotia,466
343,-3.6223766,35.6133899,ARUSHA,Karatu,Kansay,376
344,-3.3230678,35.6044887,ARUSHA,Karatu,Ganako,223
345,-3.2824066,35.8135016,ARUSHA,Karatu,Mbulumbulu,685
346,-3.6697136,35.5949753,ARUSHA,Karatu,Kansay,204
347,-3.3472211,35.6946583,ARUSHA,Karatu,Karatu,503
348,-3.342866,35.658793,ARUSHA,Karatu,Qurus,3493.5
349,-3.369537,35.797881,ARUSHA,Karatu,Rhotia,604
350,-3.3696785,35.8072205,ARUSHA,Karatu,Rhotia,287
351,-3.198307,35.444326,ARUSHA,Karatu,Rhotia,476
352,-3.3592821,35.6597991,ARUSHA,Karatu,Qurus,620
353,-3.5062199,35.3834598,ARUSHA,Karatu,Mang'ola,401
354,-3.221795,35.896697,ARUSHA,Karatu,Mbulumbulu,450
355,-3.2470652,35.8330285,ARUSHA,Karatu,Mbulumbulu,392
356,-3.5416766,35.3121166,ARUSHA,Karatu,Mang'ola,514
357,-3.6381757,35.5615466,ARUSHA,Karatu,Kansay,213
358,-3.184095,35.9055433,ARUSHA,Karatu,Mbulumbulu,258
359,-3.427233,35.645661,ARUSHA,Karatu,Qurus,219
360,-3.5109949,35.7085353,ARUSHA,Karatu,Endamarariek,253
361,-3.3882612,35.436671,ARUSHA,Karatu,Daa,469
362,-3.506129,35.355226,ARUSHA,Karatu,Mang'ola,3493.5
363,-3.5275966,35.3329883,ARUSHA,Karatu,Mang'ola,3493.5
364,-3.3478801,35.6705611,ARUSHA,Karatu,Daa,464
365,-3.5526333,35.3409516,ARUSHA,Karatu,Baray,665
366,-3.4391166,35.7619916,ARUSHA,Karatu,Endamarariek,178
367,-3.3530768,35.7900956,ARUSHA,Karatu,Rhotia,146
368,-3.3058476,35.7154078,ARUSHA,Karatu,Rhotia,274
369,-3.2595116,35.8307916,ARUSHA,Karatu,Mbulumbulu,283
370,-3.5055522,35.7121901,ARUSHA,Karatu,Endamarariek,327
371,-3.876445,35.751295,ARUSHA,Karatu,Baray,482
372,-3.5364116,35.3770483,ARUSHA,Karatu,Baray,648
373,-3.269838,35.794488,ARUSHA,Karatu,Mbulumbulu,478
374,-3.5332417,35.3714112,ARUSHA,Karatu,Baray,548
375,-3.3583888,35.6237304,ARUSHA,Karatu,Endamarariek,307
376,-3.34664,35.63851,ARUSHA,Karatu,Oldeani,241
377,-3.387958,35.673665,ARUSHA,Karatu,Qurus,265
378,-3.4534516,35.5119099,ARUSHA,Karatu,Daa,340
379,-3.448669,35.361203,ARUSHA,Karatu,Endamaghang,417
380,-3.7614233,35.0094404,ARUSHA,Karatu,Baray,138
381,-3.64455576,35.5733378,ARUSHA,Karatu,Baray,251
382,-3.3716814,35.6084517,ARUSHA,Karatu,Qurus,635
383,-3.887149,35.810741,ARUSHA,Karatu,Baray,157
384,-3.3535083,35.5578378,ARUSHA,Karatu,Oldeani,637
385,-3.5026867,35.3943983,ARUSHA,Karatu,Baray,960
386,-3.5204199,35.6199713,ARUSHA,Karatu,Endabash,818
387,-3.5322416,35.6509016,ARUSHA,Karatu,Endabash,625
388,-3.5216133,35.6009966,ARUSHA,Karatu,Endabash,375
389,-3.435155,35.6095633,ARUSHA,Karatu,Qurus,486
390,-3.3084634,35.732386,ARUSHA,Karatu,Rhotia,608
391,-3.2760353,35.8881344,ARUSHA,Karatu,Mbulumbulu,232
392,-3.4932162,35.6479897,ARUSHA,Karatu,Endamarariek,509
